segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
3,0029,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0029_forward_40.749056_-73.9957286_300.5.jpg,40.749056,-73.9957286,X9wiGjU3dCg2VhRy83tgLg,40.74902410386635,-73.995769823013,300.49,300.49
3,0029,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0029_backward_40.749056_-73.9957286_120.5.jpg,40.749056,-73.9957286,X9wiGjU3dCg2VhRy83tgLg,40.74902410386635,-73.995769823013,300.49,120.49000000000001
4,0030,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0030_forward_40.7472363_-73.9933621_27.8.jpg,40.7472363,-73.9933621,CAoSF0NJSE0wb2dLRUlDQWdJQ0V6LTZfOGdF,40.74724962681063,-73.99340821735191,27.77,27.77
4,0030,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0030_backward_40.7472363_-73.9933621_207.8.jpg,40.7472363,-73.9933621,CAoSF0NJSE0wb2dLRUlDQWdJQ0V6LTZfOGdF,40.74724962681063,-73.99340821735191,27.77,207.77
4,0031,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0031_forward_40.7474752_-73.9931961_29.6.jpg,40.7474752,-73.9931961,xD5aZnsVYfdKJh__5xLSOg,40.74745164943582,-73.9932204497576,29.57,29.57
4,0031,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0031_backward_40.7474752_-73.9931961_209.6.jpg,40.7474752,-73.9931961,xD5aZnsVYfdKJh__5xLSOg,40.74745164943582,-73.9932204497576,29.57,209.57
4,0032,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0032_forward_40.74771_-73.9930203_29.7.jpg,40.74771,-73.9930203,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyOXpOR0E.,40.74772427730007,-73.9929915236883,29.69,29.69
4,0032,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0032_backward_40.74771_-73.9930203_209.7.jpg,40.74771,-73.9930203,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyOXpOR0E.,40.74772427730007,-73.9929915236883,29.69,209.69
4,0033,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0033_forward_40.7478634_-73.9929048_29.7.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,29.69,29.69
4,0033,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/004-0033_backward_40.7478634_-73.9929048_209.7.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,29.69,209.69
5,0034,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0034_forward_40.7478634_-73.9929048_28.9.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,28.93,28.93
